Country;iso3c;Safety and security;Miliratization;OngoingOngoing Conflicts)
Togo;TGO;2.615;2.02;1.818
Trinidad and Tobago;TTO;2.736;2.098;1.201
Tunisia;TUN;2.508;1.769;1.82
Turkey;TUR;3.217;2.058;3.159
Turkmenistan;TKM;2.501;2.383;1.604
Uganda;UGA;2.762;1.76;1.765
Ukraine;UKR;3.23;2.044;2.765
United Arab Emirates;ARE;1.712;2.652;1.464
United Kingdom;GBR;1.729;2.489;1.042
United States of America;USA;2.225;3.172;1.77
Uruguay;URY;2.323;1.582;1
Uzbekistan;UZB;2.215;2.213;1.805
Venezuela;VEN;4.007;2.002;2.103
Vietnam;VNM;2.289;1.876;1.403
Yemen;YEM;3.771;2.272;3.559
Zambia;ZMB;2.511;1.519;1.604
Zimbabwe;ZWE;2.99;2.044;2.112
